Station Activation Date,No. of Ports
,1
06/01/2011 12:00:00 AM,26
02/01/2015 12:00:00 AM,7
03/01/2013 12:00:00 AM,10
04/01/2011 12:00:00 AM,8
06/01/2012 12:00:00 AM,8
10/01/2010 12:00:00 AM,6
06/01/2014 12:00:00 AM,2
07/01/2012 12:00:00 AM,28
12/01/2011 12:00:00 AM,28
05/01/2012 12:00:00 AM,8
02/01/2012 12:00:00 AM,5
04/01/2015 12:00:00 AM,5
01/01/2012 12:00:00 AM,22
03/01/2011 12:00:00 AM,14
08/01/2011 12:00:00 AM,6
10/01/2013 12:00:00 AM,1
10/01/2012 12:00:00 AM,3
08/01/2012 12:00:00 AM,48
03/01/2014 12:00:00 AM,1
02/01/2013 12:00:00 AM,2
05/01/2011 12:00:00 AM,6
03/01/2012 12:00:00 AM,4
08/01/2014 12:00:00 AM,1
10/01/2011 12:00:00 AM,24
09/01/2011 12:00:00 AM,28
11/01/2011 12:00:00 AM,16
05/01/2014 12:00:00 AM,3
07/01/2013 12:00:00 AM,2
09/01/2012 12:00:00 AM,2
08/01/2013 12:00:00 AM,4
12/01/2012 12:00:00 AM,2
07/01/2014 12:00:00 AM,4
01/01/2013 12:00:00 AM,4
11/01/2014 12:00:00 AM,1
03/01/2015 12:00:00 AM,21
10/01/2014 12:00:00 AM,2
